title,page_link,pdf_link,issue_date,fda_organization,topic,status,docket_number,comment,closing_comment
"510(k) Third Party Review Program and Third Party Emergency Use Authorization (EUA) Review:  Guidance for Industry, Food and Drug Administration Staff, and Third Party Review Organizations",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/510k-third-party-review-program-and-third-party-emergency-use-authorization-eua-review,https://www.fda.gov/media/85284/download,2024-11-21,['Center for Devices and Radiological Health'],"['Premarket','510(k)','Administrative / Procedural']",Final,FDA-2016-D-2565,No,
Frequently Asked Questions — Developing Potential Cellular and Gene Therapy Products,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/frequently-asked-questions-developing-potential-cellular-and-gene-therapy-products,https://www.fda.gov/media/183631/download,2024-11-18,['Center for Biologics Evaluation and Research'],['Gene Therapy'],Draft,FDA-2024-D-4311,No,
Nonclinical Safety Assessment of Oligonucleotide-Based Therapeutics,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/nonclinical-safety-assessment-oligonucleotide-based-therapeutics,https://www.fda.gov/media/183496/download,2024-11-15,['Center for Drug Evaluation and Research'],['Pharmacology/Toxicology'],Draft,FDA-2024-D-4624,Yes,2025-01-14
Guidance for Industry: FDA's Voluntary Qualified Importer Program,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-fdas-voluntary-qualified-importer-program,https://www.fda.gov/media/92196/download,2024-11-14,"['Center for Veterinary Medicine','Office of Inspections and Investigations','Human Foods Program']",['Import'],Final,FDA-2011-N-0144,No,
CPG Sec 540.525 Scombrotoxin (Histamine)-forming Fish and Fishery Products – Decomposition and Histamine (CPG 7108.24),https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-540525-scombrotoxin-histamine-forming-fish-and-fishery-products-decomposition-and-histamine,https://www.fda.gov/media/182955/download,2024-11-01,"['Human Foods Program','Office of Inspections and Investigations']","['Investigation & Enforcement','Seafood/Seafood Product']",Final,FDA-2021-D-0367,No,
Study Data Technical Conformance Guide - Technical Specifications Document,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/study-data-technical-conformance-guide-technical-specifications-document,https://www.fda.gov/media/153632/download,2024-10-31,['Center for Drug Evaluation and Research'],,Final,FDA-2014-D-0092,No,2014-05-07
M13A Bioequivalence for Immediate-Release Solid Oral Dosage Forms,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m13a-bioequivalence-immediate-release-solid-oral-dosage-forms,https://www.fda.gov/media/165049/download,2024-10-30,['Center for Drug Evaluation and Research'],['ICH-Multidisciplinary'],Final,FDA-2023-D-0093,No,2023-04-03
CVM GFI #293 - FDA Enforcement Policy for AAFCO-Defined Animal Feed Ingredients,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-293-fda-enforcement-policy-aafco-defined-animal-feed-ingredients,https://www.fda.gov/media/180441/download,2024-10-24,['Center for Veterinary Medicine'],"['Postmarket','Premarket','Animal Food Additives','Labeling']",Final,FDA-2024-D-2977,No,2024-09-09
"Guidance for Industry: Insanitary Conditions in the Preparation, Packing, and Holding of Tattoo Inks and the Risk of Microbial Contamination",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-insanitary-conditions-preparation-packing-and-holding-tattoo-inks-and-risk,https://www.fda.gov/media/183019/download,2024-10-22,['Office of the Commissioner'],['Tattoos'],Final,FDA-2023-D-1083,No,2023-09-11
Drug Interaction Information in Human Prescription Drug and Biological Product Labeling,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/drug-interaction-information-human-prescription-drug-and-biological-product-labeling,https://www.fda.gov/media/182893/download,2024-10-21,['Center for Drug Evaluation and Research'],"['Labeling','Clinical - Pharmacology']",Draft,FDA-2024-D-3903,Yes,2025-01-21
